# OpenCOMAL external keyword help docs (tab-separated)
# Format: KEYWORD<TAB>CATEGORY<TAB>DESCRIPTION
# Notes:
# - Lines starting with # are ignored.
# - Use \n for line breaks in descriptions.
# - Entries override built-in hardcoded docs by keyword (case-insensitive).
# - You can also add new keywords or built-in functions not listed in code.

DRAW	Graphics and Sound	Execute a graphics command from the registry.\n\nGeneral form:\nDRAW commandName, arg1, arg2, ...\n\nHow to write commandName:\n1) Bare command: DRAW line, 0, 0, 100, 100\n2) Quoted command: DRAW "line", 0, 0, 100, 100\n3) Group-qualified command: DRAW "HUD.line", 0, 0, 100, 100\n4) Nested groups: DRAW "Ship.Engine.line", 0, 0, 100, 100\n\nGroup notation means everything before the last dot is a group path, and the final token is the command.\nExample: "Ship.Engine.rect" => group path Ship -> Engine, command rect.\n\nTip: place cursor on a subcommand token (LINE, RECT, CIRCLE, etc.) for command-specific help.

LINE	Graphics and Sound	DRAW line command.\n\nSignature:\nline x1 y1 x2 y2\n\nDraw a line segment between two points.\n\nArguments: exactly 4 numbers.
RECT	Graphics and Sound	DRAW rect command.\n\nSignature:\nrect x y width height\n\nDraw a rectangle.\n\nArguments: exactly 4 numbers.
CIRCLE	Graphics and Sound	DRAW circle command.\n\nSignature:\ncircle cx cy radius\n\nDraw a circle from center and radius.\n\nArguments: exactly 3 numbers.
ELLIPSE	Graphics and Sound	DRAW ellipse command.\n\nSignature:\nellipse x y width height\n\nDraw an ellipse.\n\nArguments: exactly 4 numbers.
STROKE	Graphics and Sound	DRAW stroke command.\n\nSignature:\nstroke r g b [a]\n\nSet stroke (outline) color. Alpha is optional.\n\nArguments: 3 to 4 numbers.
FILL	Graphics and Sound	DRAW fill command.\n\nSignature:\nfill r g b [a]\n\nSet fill color. Alpha is optional.\n\nArguments: 3 to 4 numbers.
NOFILL	Graphics and Sound	DRAW noFill command.\n\nSignature:\nnoFill\n\nDisable fill for subsequent shapes.\n\nArguments: none.
NOSTROKE	Graphics and Sound	DRAW noStroke command.\n\nSignature:\nnoStroke\n\nDisable stroke for subsequent shapes.\n\nArguments: none.
LINEWIDTH	Graphics and Sound	DRAW lineWidth command.\n\nSignature:\nlineWidth width\n\nSet stroke line width.\n\nArguments: exactly 1 number.
BACKGROUND	Graphics and Sound	DRAW background command.\n\nSignature:\nbackground r g b [a]\n\nSet canvas background color. Alpha is optional.\n\nArguments: 3 to 4 numbers.
CLEAR	Graphics and Sound	DRAW clear command.\n\nSignature:\nclear\n\nClear the canvas.\n\nArguments: none.
TRANSLATE	Graphics and Sound	DRAW translate command.\n\nSignature:\ntranslate dx dy\n\nTranslate a group transform.\n\nArguments: exactly 2 numbers.
ROTATE	Graphics and Sound	DRAW rotate command.\n\nSignature:\nrotate angle\n\nRotate a group transform in degrees.\n\nArguments: exactly 1 number.
SCALE	Graphics and Sound	DRAW scale command.\n\nSignature:\nscale sx [sy]\n\nScale a group transform; sy defaults to sx when omitted.\n\nArguments: 1 to 2 numbers.
TEXT	Graphics and Sound	DRAW text command.\n\nSignature:\ntext x y "text"\n\nDraw text at a position using current stroke color and font size.\n\nArguments: exactly 2 numeric values plus 1 quoted string.
FONTSIZE	Graphics and Sound	DRAW fontSize command.\n\nSignature:\nfontSize size\n\nSet font size for subsequent DRAW text commands.\n\nArguments: exactly 1 number.

PLAY	Graphics and Sound	Play a melody/control sequence string.\n\nForm:\nPLAY sequence$ [, options...]\n\nStop active playback:\nPLAY "STOP"\n\nImplemented runtime options:\n- ASYNC or NOWAIT\n- VOL=<n> or VOL, n\n- DUR=<ms> or DUR, ms\n\nCurrent ABC subset (runtime parseABCToTones):\n1) Notes\nA B C D E F G\n\n2) Accidentals\n^ sharp, _ flat, = natural marker\n\n3) Rests\nz or Z\nLengths allowed: z2, z/2, z/\n\n4) Directives\nL=<beats> or L:<beats> (default note length)\nQ=<bpm> or Q:<bpm>\nQ:<unit>=<bpm> supported, e.g. Q:1/4=123\n\n5) Octave modifiers\nlowercase note: +1 octave\ncomma (,): -1 octave each\napostrophe ('): +1 octave each\nexplicit octave digit overrides shifts, e.g. C5\n\n6) Length suffixes\nA2, A/2, A/, A3/2\n\n7) Tokens ignored by parser\nbar separators: |, ||, |], [|\ncomments: % to end of line\nties: -\n\nExamples:\nPLAY "L=1/2 Q:120 C z2 | D z/2 || E [| F |]"\nPLAY "L=1 Q=120 C D E % major scale F G A B C'"\nPLAY "L:1/8 Q:1/4=123 C D E F G A B c"\n\nNotes:\n- This is a lightweight subset, not full ABC/MML.\n- Engine keeps ABC state (L and Q) across successive PLAY calls until STOP.

TONE	Graphics and Sound	Play a sine tone.\n\nForm:\nTONE frequency, durationMs\n\nfrequency is in Hz and duration is in milliseconds.

SPLIT$	Strings	Return one segment from a delimited string.\n\nForm:\nSPLIT$(text$, delimiter$, index)\n\nindex is zero-based in current runtime behavior.

SPAWN	Parallel and Queue	Start a CLOSED PROC asynchronously (fire-and-forget).\n\nForm:\nSPAWN procName\nSPAWN procName(arg1, arg2, ...)\n\nRules in current implementation:\n- Target must be a PROC (not FUNC).\n- Target PROC must be declared CLOSED.\n- Spawned workers are detached from the main flow (no process id / no join).\n- When the main program ends, spawned workers are stopped.\n- A spawned CLOSED PROC can call only CLOSED PROC/FUNC routines.\n- DIM/LOCAL is not allowed inside CLOSED PROC/FUNC in this restrictive mode.
